nodenumber,x,y,p,pressure-coefficient,dynamic-pressure,absolute-pressure,total-pressure,velocity-magnitude,u,v
        55, 5.800000000E+00,-5.000000000E+00, 4.879990023E-01, 3.541035844E-03, 1.383755445E+02, 1.013254880E+05, 1.388635435E+02, 1.503061066E+01, 1.503061066E+01, 0.000000000E+00
        56, 6.000000000E+00,-5.000000000E+00, 4.624276083E-01, 3.355483779E-03, 1.384011161E+02, 1.013254624E+05, 1.388635437E+02, 1.503199941E+01, 1.503199941E+01, 0.000000000E+00
        57, 6.200000000E+00,-5.000000000E+00, 4.378428302E-01, 3.177090832E-03, 1.384257011E+02, 1.013254378E+05, 1.388635439E+02, 1.503333447E+01, 1.503333447E+01, 0.000000000E+00
        58, 6.400000000E+00,-5.000000000E+00, 4.142519538E-01, 3.005909869E-03, 1.384492922E+02, 1.013254143E+05, 1.388635441E+02, 1.503461543E+01, 1.503461543E+01, 0.000000000E+00
        59, 6.600000000E+00,-5.000000000E+00, 3.916541432E-01, 2.841934826E-03, 1.384718902E+02, 1.013253917E+05, 1.388635443E+02, 1.503584237E+01, 1.503584237E+01, 0.000000000E+00
        60, 6.800000000E+00,-5.000000000E+00, 3.700416839E-01, 2.685109724E-03, 1.384935028E+02, 1.013253700E+05, 1.388635445E+02, 1.503701571E+01, 1.503701571E+01, 0.000000000E+00
        61, 7.000000000E+00,-5.000000000E+00, 3.494007982E-01, 2.535334590E-03, 1.385141438E+02, 1.013253494E+05, 1.388635446E+02, 1.503813622E+01, 1.503813622E+01, 0.000000000E+00
        62, 7.200000000E+00,-5.000000000E+00, 3.297128983E-01, 2.392474545E-03, 1.385338318E+02, 1.013253297E+05, 1.388635447E+02, 1.503920492E+01, 1.503920492E+01, 0.000000000E+00
        63, 7.400000000E+00,-5.000000000E+00, 3.109553040E-01, 2.256365018E-03, 1.385525894E+02, 1.013253110E+05, 1.388635448E+02, 1.504022305E+01, 1.504022305E+01, 0.000000000E+00
        64, 7.600000000E+00,-5.000000000E+00, 2.931022333E-01, 2.126818927E-03, 1.385704426E+02, 1.013252931E+05, 1.388635448E+02, 1.504119202E+01, 1.504119202E+01, 0.000000000E+00
        65, 7.800000000E+00,-5.000000000E+00, 2.761253035E-01, 2.003630320E-03, 1.385874195E+02, 1.013252761E+05, 1.388635448E+02, 1.504211338E+01, 1.504211338E+01, 0.000000000E+00
        66, 8.000000000E+00,-5.000000000E+00, 2.599943327E-01, 1.886580192E-03, 1.386035505E+02, 1.013252600E+05, 1.388635448E+02, 1.504298877E+01, 1.504298877E+01, 0.000000000E+00
        67, 8.200000000E+00,-5.000000000E+00, 2.446776561E-01, 1.775438775E-03, 1.386188672E+02, 1.013252447E+05, 1.388635448E+02, 1.504381993E+01, 1.504381993E+01, 0.000000000E+00
        68, 8.400000000E+00,-5.000000000E+00, 2.301427314E-01, 1.669969933E-03, 1.386334021E+02, 1.013252301E+05, 1.388635448E+02, 1.504460862E+01, 1.504460862E+01, 0.000000000E+00
        69, 8.600000000E+00,-5.000000000E+00, 2.163564527E-01, 1.569933444E-03, 1.386471883E+02, 1.013252164E+05, 1.388635448E+02, 1.504535665E+01, 1.504535665E+01, 0.000000000E+00
        70, 8.800000000E+00,-5.000000000E+00, 2.032854756E-01, 1.475087351E-03, 1.386602593E+02, 1.013252033E+05, 1.388635448E+02, 1.504606583E+01, 1.504606583E+01, 0.000000000E+00
        71, 9.000000000E+00,-5.000000000E+00, 1.908965088E-01, 1.385190087E-03, 1.386726482E+02, 1.013251909E+05, 1.388635447E+02, 1.504673798E+01, 1.504673798E+01, 0.000000000E+00
        72, 9.200000000E+00,-5.000000000E+00, 1.791565217E-01, 1.300001972E-03, 1.386843882E+02, 1.013251792E+05, 1.388635447E+02, 1.504737489E+01, 1.504737489E+01, 0.000000000E+00
        73, 9.400000000E+00,-5.000000000E+00, 1.680329206E-01, 1.219286499E-03, 1.386955118E+02, 1.013251680E+05, 1.388635447E+02, 1.504797834E+01, 1.504797834E+01, 0.000000000E+00
        74, 9.600000000E+00,-5.000000000E+00, 1.574937062E-01, 1.142811473E-03, 1.387060510E+02, 1.013251575E+05, 1.388635447E+02, 1.504855006E+01, 1.504855006E+01, 0.000000000E+00
        75, 9.800000000E+00,-5.000000000E+00, 1.475075755E-01, 1.070349754E-03, 1.387160370E+02, 1.013251475E+05, 1.388635446E+02, 1.504909176E+01, 1.504909176E+01, 0.000000000E+00
        76, 1.000000000E+01,-5.000000000E+00, 1.380440141E-01, 1.001679921E-03, 1.387255006E+02, 1.013251380E+05, 1.388635446E+02, 1.504960509E+01, 1.504960509E+01, 0.000000000E+00
        77, 1.020000000E+01,-5.000000000E+00, 1.290733692E-01, 9.365868062E-04, 1.387344712E+02, 1.013251291E+05, 1.388635446E+02, 1.505009167E+01, 1.505009167E+01, 0.000000000E+00
        78, 1.040000000E+01,-5.000000000E+00, 1.205668742E-01, 8.748616720E-04, 1.387429776E+02, 1.013251206E+05, 1.388635445E+02, 1.505055306E+01, 1.505055306E+01, 0.000000000E+00
        79, 1.060000000E+01,-5.000000000E+00, 1.124966819E-01, 8.163024540E-04, 1.387510478E+02, 1.013251125E+05, 1.388635445E+02, 1.505099077E+01, 1.505099077E+01, 0.000000000E+00
        80, 1.080000000E+01,-5.000000000E+00, 1.048359081E-01, 7.607140726E-04, 1.387587085E+02, 1.013251048E+05, 1.388635444E+02, 1.505140627E+01, 1.505140627E+01, 0.000000000E+00
        81, 1.100000000E+01,-5.000000000E+00, 9.755857351E-02, 7.079080164E-04, 1.387659858E+02, 1.013250976E+05, 1.388635444E+02, 1.505180095E+01, 1.505180095E+01, 0.000000000E+00
        82, 1.120000000E+01,-5.000000000E+00, 9.063963654E-02, 6.577025781E-04, 1.387729047E+02, 1.013250906E+05, 1.388635443E+02, 1.505217619E+01, 1.505217619E+01, 0.000000000E+00
        83, 1.140000000E+01,-5.000000000E+00, 8.405497894E-02, 6.099227497E-04, 1.387794893E+02, 1.013250841E+05, 1.388635443E+02, 1.505253329E+01, 1.505253329E+01, 0.000000000E+00
        84, 1.160000000E+01,-5.000000000E+00, 7.778134328E-02, 5.643997698E-04, 1.387857628E+02, 1.013250778E+05, 1.388635441E+02, 1.505287351E+01, 1.505287351E+01, 0.000000000E+00
        85, 1.180000000E+01,-5.000000000E+00, 7.179635905E-02, 5.209713129E-04, 1.387917476E+02, 1.013250718E+05, 1.388635440E+02, 1.505319807E+01, 1.505319807E+01, 0.000000000E+00
        86, 1.200000000E+01,-5.000000000E+00, 6.607852171E-02, 4.794813366E-04, 1.387974653E+02, 1.013250661E+05, 1.388635438E+02, 1.505350813E+01, 1.505350813E+01, 0.000000000E+00
        87, 1.220000000E+01,-5.000000000E+00, 6.060704824E-02, 4.397790349E-04, 1.388029365E+02, 1.013250606E+05, 1.388635436E+02, 1.505380480E+01, 1.505380480E+01, 0.000000000E+00
        88, 1.240000000E+01,-5.000000000E+00, 5.536208499E-02, 4.017203446E-04, 1.388081813E+02, 1.013250554E+05, 1.388635434E+02, 1.505408919E+01, 1.505408919E+01, 0.000000000E+00
        89, 1.260000000E+01,-5.000000000E+00, 5.032451802E-02, 3.651665707E-04, 1.388132188E+02, 1.013250503E+05, 1.388635433E+02, 1.505436232E+01, 1.505436232E+01, 0.000000000E+00
        90, 1.280000000E+01,-5.000000000E+00, 4.547587371E-02, 3.299836641E-04, 1.388180677E+02, 1.013250455E+05, 1.388635436E+02, 1.505462521E+01, 1.505462521E+01, 0.000000000E+00
        91, 1.300000000E+01,-5.000000000E+00, 4.079847637E-02, 2.960433659E-04, 1.388227458E+02, 1.013250408E+05, 1.388635443E+02, 1.505487887E+01, 1.505487887E+01, 0.000000000E+00
        92, 1.320000000E+01,-5.000000000E+00, 3.627489925E-02, 2.632192236E-04, 1.388272705E+02, 1.013250363E+05, 1.388635454E+02, 1.505512424E+01, 1.505512424E+01, 0.000000000E+00
        93, 1.340000000E+01,-5.000000000E+00, 3.188853863E-02, 2.313907565E-04, 1.388316568E+02, 1.013250319E+05, 1.388635454E+02, 1.505536218E+01, 1.505536218E+01, 0.000000000E+00
        94, 1.360000000E+01,-5.000000000E+00, 2.761927285E-02, 2.004119572E-04, 1.388359238E+02, 1.013250276E+05, 1.388635431E+02, 1.505559370E+01, 1.505559370E+01, 0.000000000E+00
        95, 1.380000000E+01,-5.000000000E+00, 2.344499134E-02, 1.701223862E-04, 1.388400961E+02, 1.013250234E+05, 1.388635411E+02, 1.505582005E+01, 1.505582005E+01, 0.000000000E+00
        96, 1.400000000E+01,-5.000000000E+00, 1.935770501E-02, 1.404640726E-04, 1.388441854E+02, 1.013250194E+05, 1.388635431E+02, 1.505604182E+01, 1.505604182E+01, 0.000000000E+00
        97, 1.420000000E+01,-5.000000000E+00, 1.536064380E-02, 1.114604539E-04, 1.388481850E+02, 1.013250154E+05, 1.388635457E+02, 1.505625881E+01, 1.505625881E+01, 0.000000000E+00
