x,y,u,v,p
0.193, 0.25, 0.764839, 0, 0.497854
0.186, 0.25, 0.764826, 0, 0.497866
0.178, 0.25, 0.764797, 0, 0.497892
0.171, 0.25, 0.764762, 0, 0.497925
0.163, 0.25, 0.764706, 0, 0.497977
0.156, 0.25, 0.764643, 0, 0.498036
0.148, 0.25, 0.764554, 0, 0.498119
0.14, 0.25, 0.764444, 0, 0.498222
0.133, 0.25, 0.764331, 0, 0.498327
0.125, 0.25, 0.764178, 0, 0.49847
0.118, 0.25, 0.764027, 0, 0.498611
0.11, 0.25, 0.763828, 0, 0.498797
0.103, 0.25, 0.763634, 0, 0.498977
0.095, 0.25, 0.763386, 0, 0.49921
0.088, 0.25, 0.763148, 0, 0.499431
0.08, 0.25, 0.762849, 0, 0.499711
0.073, 0.25, 0.762567, 0, 0.499974
0.065, 0.25, 0.762217, 0, 0.5003
0.058, 0.25, 0.761893, 0, 0.500603
0.05, 0.25, 0.761497, 0, 0.500972
0.043, 0.25, 0.761134, 0, 0.50131
0.035, 0.25, 0.760698, 0, 0.501716
0.028, 0.25, 0.760303, 0, 0.502084
0.02, 0.25, 0.759835, 0, 0.502519
0.013, 0.25, 0.759416, 0, 0.502908
0.005, 0.25, 0.758927, 0, 0.503362
-0.002, 0.25, 0.758494, 0, 0.503765
-0.01, 0.25, 0.757996, 0, 0.504227
-0.017, 0.25, 0.757559, 0, 0.504633
-0.025, 0.25, 0.757062, 0, 0.505093
-0.032, 0.25, 0.756631, 0, 0.505492
-0.04, 0.25, 0.756147, 0, 0.50594
-0.047, 0.25, 0.755732, 0, 0.506324
-0.055, 0.25, 0.75527, 0, 0.506752
-0.063, 0.25, 0.754823, 0, 0.507164
-0.07, 0.25, 0.754446, 0, 0.507513
-0.078, 0.25, 0.754033, 0, 0.507894
-0.085, 0.25, 0.753686, 0, 0.508214
-0.093, 0.25, 0.753311, 0, 0.50856
-0.1, 0.25, 0.752998, 0, 0.508848
-0.108, 0.25, 0.752663, 0, 0.509157
-0.115, 0.25, 0.752386, 0, 0.509412
-0.123, 0.25, 0.752092, 0, 0.509682
-0.13, 0.25, 0.751851, 0, 0.509904
-0.138, 0.25, 0.751598, 0, 0.510137
-0.145, 0.25, 0.751392, 0, 0.510326
-0.153, 0.25, 0.751177, 0, 0.510523
-0.16, 0.25, 0.751005, 0, 0.510682
-0.168, 0.25, 0.750827, 0, 0.510844
-0.175, 0.25, 0.750686, 0, 0.510974
-0.183, 0.25, 0.750544, 0, 0.511104
-0.19, 0.25, 0.750433, 0, 0.511206
-0.198, 0.25, 0.750324, 0, 0.511306
-0.205, 0.25, 0.75024, 0, 0.511382
-0.213, 0.25, 0.750162, 0, 0.511454
-0.22, 0.25, 0.750105, 0, 0.511506
-0.228, 0.25, 0.750057, 0, 0.51155
-0.235, 0.25, 0.750025, 0, 0.511579
-0.243, 0.25, 0.750006, 0, 0.511595
0.00046, -0.000718, 0, 0, 0.673393
0.002053, -0.001391, 0, 0, 0.523442
0.004488, -0.001826, 0, 0, 0.447441
0.008076, -0.002073, 0, 0, 0.40877
0.012432, -0.002111, 0, 0, 0.389555
0.018761, -0.001947, 0, 0, 0.390622
0.026603, -0.001582, 0, 0, 0.402644
0.034388, -0.001102, 0, 0, 0.414873
0.042221, -0.000571, 0, 0, 0.424669
0.042533, 0.001432, 0, 0, 0.420093
0.035066, 0.002565, 0, 0, 0.405689
0.02751, 0.00341, 0, 0, 0.39299
0.019975, 0.0039, 0, 0, 0.389467
0.0134, 0.003883, 0, 0, 0.4037
0.008946, 0.003509, 0, 0, 0.434367
0.005352, 0.002896, 0, 0, 0.485027
0.002973, 0.002237, 0, 0, 0.559133
0.001417, 0.001581, 0, 0, 0.66248
0.000319, 0.000803, 0, 0, 0.78022
-0.239119, -0.24353, 0.750013, -1.94115e-05, 0.510759
-0.231033, -0.243117, 0.750047, -3.43083e-05, 0.510728
-0.223176, -0.243374, 0.750093, -4.69101e-05, 0.510686
-0.215527, -0.243452, 0.750154, -5.87311e-05, 0.510631
-0.208017, -0.243484, 0.750228, -7.18477e-05, 0.510562
-0.200564, -0.243413, 0.750318, -8.56731e-05, 0.510481
-0.193113, -0.243471, 0.750423, -9.89113e-05, 0.510384
-0.185631, -0.243447, 0.750544, -0.000113081, 0.510274
-0.178162, -0.243521, 0.750681, -0.000126347, 0.510147
-0.170668, -0.243488, 0.750835, -0.000141385, 0.510006
-0.163192, -0.243537, 0.751006, -0.000155529, 0.509849
-0.155697, -0.243492, 0.751195, -0.00017167, 0.509676
-0.148221, -0.243536, 0.751401, -0.000186338, 0.509486
-0.140719, -0.24349, 0.751626, -0.000203336, 0.50928
-0.133223, -0.243534, 0.751869, -0.000218293, 0.509056
-0.125727, -0.243487, 0.752131, -0.000235955, 0.508815
-0.118226, -0.243532, 0.752413, -0.000250733, 0.508556
-0.110725, -0.243485, 0.752713, -0.000268759, 0.50828
-0.103224, -0.24353, 0.753031, -0.000282908, 0.507986
-0.095717, -0.243483, 0.753369, -0.00030078, 0.507676
-0.088213, -0.243526, 0.753724, -0.000313829, 0.507348
-0.080693, -0.24348, 0.754097, -0.000330794, 0.507004
-0.073175, -0.243524, 0.754486, -0.000341978, 0.506644
-0.065635, -0.243482, 0.754892, -0.000357075, 0.50627
-0.058063, -0.243535, 0.755314, -0.000364997, 0.50588
-0.050369, -0.243537, 0.755755, -0.000375373, 0.505472
-0.04279, -0.243485, 0.7562, -0.000385974, 0.50506
-0.035261, -0.243526, 0.756651, -0.000390128, 0.504643
-0.027745, -0.24348, 0.757107, -0.000396672, 0.504221
-0.02024, -0.243524, 0.757565, -0.000396093, 0.503796
-0.012735, -0.24348, 0.758025, -0.00039844, 0.503369
-0.00524, -0.243526, 0.758482, -0.0003929, 0.502945
0.002261, -0.243482, 0.758936, -0.000390851, 0.502524
0.009755, -0.243528, 0.759381, -0.000380529, 0.50211
0.017256, -0.243485, 0.759818, -0.000374027, 0.501704
0.024754, -0.24353, 0.760243, -0.000359367, 0.501309
0.032258, -0.243485, 0.760653, -0.00034893, 0.500927
0.039755, -0.243529, 0.761046, -0.000330623, 0.500562
0.047259, -0.243484, 0.761421, -0.000316796, 0.500212
0.054755, -0.243528, 0.761775, -0.000295749, 0.499883
0.062259, -0.243484, 0.762108, -0.000279351, 0.499572
0.069753, -0.243529, 0.762417, -0.000256638, 0.499284
0.077254, -0.243484, 0.762704, -0.000238736, 0.499016
0.084745, -0.243529, 0.762966, -0.000215554, 0.498772
0.092248, -0.243484, 0.763205, -0.000197036, 0.498548
0.099739, -0.243529, 0.763419, -0.00017438, 0.498349
0.10725, -0.243481, 0.76361, -0.00015623, 0.49817
0.11475, -0.243524, 0.763778, -0.000134932, 0.498014
0.122284, -0.243476, 0.763924, -0.000117734, 0.497877
0.129809, -0.243519, 0.764049, -9.83623e-05, 0.497761
0.137362, -0.243475, 0.764154, -8.24492e-05, 0.497663
0.144942, -0.243528, 0.76424, -6.57511e-05, 0.497583
0.152643, -0.243529, 0.764309, -5.04919e-05, 0.497519
0.160221, -0.24348, 0.76436, -3.73837e-05, 0.497471
0.167744, -0.243525, 0.764395, -2.43184e-05, 0.497439
0.17526, -0.243482, 0.764417, -1.3548e-05, 0.497419
0.182756, -0.243529, 0.764426, -2.93135e-06, 0.497411
0.190257, -0.243486, 0.764424, 5.8363e-06, 0.497413
0.197753, -0.243531, 0.764412, 1.42031e-05, 0.497425
0.205257, -0.243486, 0.764391, 2.11609e-05, 0.497444
0.21275, -0.243531, 0.764363, 2.75249e-05, 0.497471
0.220254, -0.243485, 0.764328, 3.28668e-05, 0.497504
0.227751, -0.243529, 0.764287, 3.75189e-05, 0.497543
0.235255, -0.243483, 0.764241, 4.14746e-05, 0.497586
0.242747, -0.243528, 0.764191, 4.46616e-05, 0.497634
0.250249, -0.243484, 0.764138, 4.74477e-05, 0.497684
0.257736, -0.243531, 0.764082, 4.94176e-05, 0.497737
0.265238, -0.243487, 0.764024, 5.12683e-05, 0.497792
0.272724, -0.243534, 0.763964, 5.22633e-05, 0.497848
0.280231, -0.243489, 0.763902, 5.33875e-05, 0.497906
0.287726, -0.243534, 0.76384, 5.36283e-05, 0.497964
0.295236, -0.243487, 0.763778, 5.42023e-05, 0.498023
0.302746, -0.243528, 0.763715, 5.38811e-05, 0.498082
0.310264, -0.24348, 0.763653, 5.40354e-05, 0.498141
0.317778, -0.243522, 0.763591, 5.32559e-05, 0.498199
0.3253, -0.243475, 0.763529, 5.3092e-05, 0.498257
0.332818, -0.243522, 0.763468, 5.19387e-05, 0.498315
0.340354, -0.243482, 0.763408, 5.14965e-05, 0.498371
0.347918, -0.243538, 0.763349, 5.00802e-05, 0.498427
0.355604, -0.243542, 0.76329, 4.90495e-05, 0.498482
0.363178, -0.243491, 0.763233, 4.83768e-05, 0.498536
0.370701, -0.243534, 0.763178, 4.69368e-05, 0.498588
0.378224, -0.243487, 0.763124, 4.61741e-05, 0.498639
0.385734, -0.24353, 0.763071, 4.46832e-05, 0.498688
0.393253, -0.243482, 0.76302, 4.38861e-05, 0.498737
0.400758, -0.243525, 0.76297, 4.23848e-05, 0.498784
0.408274, -0.243478, 0.762922, 4.15662e-05, 0.49883
0.415773, -0.243523, 0.762874, 4.00735e-05, 0.498874
0.423281, -0.243477, 0.762829, 3.92535e-05, 0.498917
0.430776, -0.243523, 0.762784, 3.7801e-05, 0.498959
0.438277, -0.24348, 0.762741, 3.69803e-05, 0.499
0.445769, -0.243527, 0.762699, 3.55862e-05, 0.499039
0.45327, -0.243484, 0.762659, 3.47923e-05, 0.499078
0.460768, -0.243528, 0.762619, 3.34854e-05, 0.499115
0.468273, -0.243483, 0.762581, 3.27377e-05, 0.499151
0.475772, -0.243527, 0.762544, 3.15042e-05, 0.499186
0.483278, -0.243481, 0.762508, 3.08028e-05, 0.49922
0.490773, -0.243525, 0.762473, 2.96469e-05, 0.499253
0.498277, -0.24348, 0.762439, 2.89818e-05, 0.499285
0.505772, -0.243525, 0.762406, 2.79032e-05, 0.499316
0.51328, -0.243479, 0.762375, 2.72831e-05, 0.499346
0.520786, -0.243522, 0.762344, 2.62914e-05, 0.499375
0.528301, -0.243477, 0.762314, 2.57148e-05, 0.499404
0.535824, -0.243522, 0.762284, 2.47801e-05, 0.499431
0.543367, -0.243481, 0.762256, 2.42443e-05, 0.499458
0.550938, -0.243533, 0.762228, 2.33664e-05, 0.499485
0.558632, -0.243535, 0.762201, 2.26629e-05, 0.499511
0.56621, -0.243484, 0.762175, 2.22709e-05, 0.499536
0.573731, -0.243527, 0.762149, 2.14589e-05, 0.49956
0.581248, -0.243482, 0.762125, 2.11264e-05, 0.499583
0.588747, -0.243528, 0.762101, 2.03534e-05, 0.499606
0.596255, -0.243483, 0.762077, 2.00676e-05, 0.499628
